000100AAAAABBBBBCCCCC00010000111 vcmpnew VREG,VREG,VREG
000100AAAAABBBBBCCCCC00010001000 vmulouw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00010001001 vmuluwm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00010001100 vmrghw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00010001110 vpkuhus VREG,VREG,VREG
000100AAAAA00000BBBBB00010010000 ps_mr FREG,FREG
000100AAAAA00000BBBBB00010010001 ps_mr. FREG,FREG
000100AAAAABBBBBCCCCC00011000000 vaddudm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011000010 vmaxud VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011000100 vrld VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011000101 vrldmi VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011000110 vcmpeqfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011000111 vcmpequd VREG,VREG,VREG
000100AAAAABBBBBCCCCC00011001110 vpkuwus VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100000000 vadduqm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100000010 vmaxsb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100000100 vslb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100000111 vcmpnezb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100001000 vmulosb VREG,VREG,VREG
000100AAAAA00000BBBBB00100001010 vrefp VREG,VREG
000100AAAAABBBBBCCCCC00100001100 vmrglb VREG,VREG,VREG
000100AAAAABBBBBCCCCC00100001110 vpkshus VREG,VREG,VREG
000100AAAAA00000BBBBB00100010000 ps_nabs FREG,FREG
000100AAAAA00000BBBBB00100010001 ps_nabs. FREG,FREG
000100AAAAABBBBBCCCCC00101000000 vaddcuq VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101000010 vmaxsh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101000100 vslh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101000111 vcmpnezh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101001000 vmulosh VREG,VREG,VREG
000100AAAAA00000BBBBB00101001010 vrsqrtefp VREG,VREG
000100AAAAABBBBBCCCCC00101001100 vmrglh VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101001110 vpkswus VREG,VREG,VREG
000100AAAAABBBBBCCCCC00101010000 mulchw GPR,GPR,GPR
000100AAAAABBBBBCCCCC00101010001 mulchw. GPR,GPR,GPR
000100AAAAABBBBBCCCCC00110000000 vaddcuw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110000010 vmaxsw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110000100 vslw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110000101 vrlwnm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110000111 vcmpnezw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110001000 vmulosw VREG,VREG,VREG
000100AAAAA00000BBBBB00110001010 vexptefp VREG,VREG
000100AAAAABBBBBCCCCC00110001100 vmrglw VREG,VREG,VREG
000100AAAAABBBBBCCCCC00110001110 vpkshss VREG,VREG,VREG
000100AAAAABBBBBCCCCC00111000010 vmaxsd VREG,VREG,VREG
000100AAAAABBBBBCCCCC00111000100 vsl VREG,VREG,VREG
000100AAAAABBBBBCCCCC00111000101 vrldnm VREG,VREG,VREG
000100AAAAABBBBBCCCCC00111000110 vcmpgefp VREG,VREG,VREG
000100AAAAA00000BBBBB00111001010 vlogefp VREG,VREG
000100AAAAABBBBBCCCCC00111001110 vpkswss VREG,VREG,VREG
000100AAAAABBBBBCCCCC01000000000 vaddubs VREG,VREG,VREG
000100AAAAABBBBB0000001000000001 vmul10uq VREG,VREG
000100AAAAABBBBBCCCCC01000000010 vminub VREG,VREG,VREG
000100AAAAABBBBBCCCCC01000000100 vsrb VREG,VREG,VREG
000100AAAAABBBBBCCCCC01000000110 vcmpgtub VREG,VREG,VREG
000100AAAAABBBBBCCCCC01000001000 vmuleub VREG,VREG,VREG
000100AAAAABBBBBxxxxx01000001001 evneg GPR,GPR
000100AAAAA00000BBBBB01000001010 vrfin VREG,VREG
000100AAAAABBBBBxxxxx01000001011 evextsh GPR,GPR
000100AAAAA0CCCCBBBBB01000001100 vspltb VREG,VREG,NUM
000100AAAAA0CCCCBBBBB01000001101 vextractub VREG,VREG,NUM
000100AAAAA00000BBBBB01000001110 vupkhsb VREG,VREG
000100AAAAA00000BBBBB01000010000 ps_abs FREG,FREG
000100AAAAA00000BBBBB01000010001 ps_abs. FREG,FREG
000100AAAAABBBBBCCCCC01000010010 evandc GPR,GPR,GPR
000100AAAxxBBBBBCCCCC01000110100 evcmpeq CREG,GPR,GPR
000100AAAAABBBBBCCCCC01001000000 vadduhs VREG,VREG,VREG
000100AAAAABBBBBCCCCC01001000001 vmul10euq VREG,VREG,VREG
000100AAAAABBBBBCCCCC01001000010 vminuh VREG,VREG,VREG
000100AAAAABBBBBCCCCC01001000100 vsrh VREG,VREG,VREG
000100AAAAABBBBBCCCCC01001000110 vcmpgtuh VREG,VREG,VREG
000100AAAAABBBBBCCCCC01001001000 vmuleuh VREG,VREG,VREG
000100AAAAA00000BBBBB01001001010 vrfiz VREG,VREG
000100AAAAA00CCCBBBBB01001001100 vsplth VREG,VREG,NUM
000100AAAAA0CCCCBBBBB01001001101 vextractuh VREG,VREG,NUM
000100AAAAA00000BBBBB01001001110 vupkhsh VREG,VREG
000100AAAAABBBBBCCCCC01010000000 vadduws VREG,VREG,VREG
000100AAAAABBBBBCCCCC01010000001 evfssub GPR,GPR,GPR
000100AAAAABBBBBCCCCC01010000010 vminuw VREG,VREG,VREG
000100AAAAABBBBBCCCCC01010000011 evfsmsub GPR,GPR,GPR
000100AAAAABBBBBCCCCC01010000100 vsrw VREG,VREG,VREG
000100AAAAABBBBBxxxxx01010000101 evfsnabs GPR,GPR
000100AAAAABBBBBCCCCC01010000110 vcmpgtuw VREG,VREG,VREG
000100AAAAABBBBB0000001010000111 evfssqrt GPR,GPR
000100AAAAABBBBBCCCCC01010001000 vmuleuw VREG,VREG,VREG
000100AAAAABBBBBCCCCC01010001001 evfsdiv GPR,GPR,GPR
000100AAAAA00000BBBBB01010001010 vrfip VREG,VREG
000100AAAAABBBBBCCCCC01010001011 evfsnmsub GPR,GPR,GPR
000100AAAAA000CCBBBBB01010001100 vspltw VREG,VREG,NUM
000100AAAAA0CCCCBBBBB01010001101 vextractuw VREG,VREG,NUM
000100AAAAA00000BBBBB01010001110 vupklsb VREG,VREG
000100AAAAAxxxxxBBBBB01010010000 evfscfui GPR,GPR
000100AAAAAxxxxxBBBBB01010010001 evfscfsi GPR,GPR
000100AAAAAxxxxxBBBBB01010010010 evfscfuf GPR,GPR
000100AAAAAxxxxxBBBBB01010010011 evfscfsf GPR,GPR
000100AAAAABBBBBCCCCC01011000000 efsadd GPR,GPR,GPR
000100AAAAABBBBBCCCCC01011000001 efssub GPR,GPR,GPR
000100AAAAABBBBBCCCCC01011000010 vminud VREG,VREG,VREG
000100AAAAABBBBBCCCCC01011000011 efsmsub GPR,GPR,GPR
000100AAAAABBBBBCCCCC01011000100 vsr VREG,VREG,VREG
000100AAAAABBBBBxxxxx01011000101 efsnabs GPR,GPR
000100AAAAABBBBBCCCCC01011000110 vcmpgtfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC01011000111 vcmpgtud VREG,VREG,VREG
000100AAAAABBBBBCCCCC01011001000 efsmul GPR,GPR,GPR
000100AAAAABBBBBCCCCC01011001001 efsdiv GPR,GPR,GPR
000100AAAAA00000BBBBB01011001010 vrfim VREG,VREG
000100AAAAABBBBBCCCCC01011001011 efsnmsub GPR,GPR,GPR
000100AAAAA0CCCCBBBBB01011001101 vextractd VREG,VREG,NUM
000100AAAAA00000BBBBB01011001110 vupklsh VREG,VREG
000100AAAAAxxxxxBBBBB01011010000 efscfui GPR,GPR
000100AAAAAxxxxxBBBBB01011010001 efscfsi GPR,GPR
000100AAAAAxxxxxBBBBB01011010010 efscfuf GPR,GPR
000100AAAAAxxxxxBBBBB01011010011 efscfsf GPR,GPR
000100AAAAAxxxxxBBBBB01011110100 efdctui GPR,GPR
000100AAAAAxxxxxBBBBB01011110101 efdctsi GPR,GPR
000100AAAAAxxxxxBBBBB01011110110 efdctuf GPR,GPR
000100AAAAAxxxxxBBBBB01011110111 efdctsf GPR,GPR
000100AAAAABBBBBCCCCC01100000000 vaddsbs VREG,VREG,VREG
000100AAAAACCCCCBBBBB01100000001 evldd GPR,NUM(GPR)
000100AAAAABBBBBCCCCC01100000010 vminsb VREG,VREG,VREG
000100AAAAACCCCCBBBBB01100000011 evldw GPR,NUM(GPR)
000100AAAAABBBBBCCCCC01100000100 vsrab VREG,VREG,VREG
000100AAAAACCCCCBBBBB01100000101 evldh GPR,NUM(GPR)
000100AAAAABBBBBCCCCC01100000110 vcmpgtsb VREG,VREG,VREG
000100AAAAABBBBBCCCCC01100001000 vmulesb VREG,VREG,VREG
000100AAAAACCCCCBBBBB01100001001 evlhhesplat GPR,NUM(GPR)
000100AAAAACCCCCBBBBB01100001010 vcfux VREG,VREG,NUM
000100AAAAABBBBB0000001100001100 vspltisb VREG,NUM
000100AAAAA0CCCCBBBBB01100001101 vinsertb VREG,VREG,NUM
000100AAAAABBBBBCCCCC01100001110 vpkpx VREG,VREG,VREG
000100AAAAABBBBBCCCCC01100010000 mullhwu GPR,GPR,GPR
000100AAAAABBBBBCCCCC01100010001 mullhwu. GPR,GPR,GPR
000100AAAAABBBBBCCCCC01100110100 evstwhox GPR,GPR,GPR
000100AAAAACCCCCBBBBB01100110101 evstwho GPR,NUM(GPR)
000100AAAAABBBBBCCCCC01101000000 vaddshs VREG,VREG,VREG
000100AAAAABBBBBCCCCC01101000001 bcdcpsgn. VREG,VREG,VREG
000100AAAAABBBBBCCCCC01101000010 vminsh VREG,VREG,VREG
000100AAAAABBBBBCCCCC01101000100 vsrah VREG,VREG,VREG
000100AAAAABBBBBCCCCC01101000110 vcmpgtsh VREG,VREG,VREG
000100AAAAABBBBBCCCCC01101001000 vmulesh VREG,VREG,VREG
000100AAAAACCCCCBBBBB01101001010 vcfsx VREG,VREG,NUM
000100AAAAABBBBB0000001101001100 vspltish VREG,NUM
000100AAAAA0CCCCBBBBB01101001101 vinserth VREG,VREG,NUM
000100AAAAA00000BBBBB01101001110 vupkhpx VREG,VREG
000100AAAAABBBBBCCCCC01101010000 mullhw GPR,GPR,GPR
000100AAAAABBBBBCCCCC01101010001 mullhw. GPR,GPR,GPR
