000100xxxxxxxxxxxxxxx00010000101 vrlwmi VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010000110 vcmpequw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010000111 vcmpnew VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010001000 vmulouw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010001001 vmuluwm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010001100 vmrghw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00010001110 vpkuhus VREG,VREG,VREG
000100xxxxx00000xxxxx00010010000 ps_mr FREG,FREG
000100xxxxx00000xxxxx00010010001 ps_mr. FREG,FREG
000100xxxxxxxxxxxxxxx00011000000 vaddudm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011000010 vmaxud VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011000100 vrld VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011000101 vrldmi VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011000110 vcmpeqfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011000111 vcmpequd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00011001110 vpkuwus VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100000000 vadduqm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100000010 vmaxsb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100000100 vslb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100000111 vcmpnezb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100001000 vmulosb VREG,VREG,VREG
000100xxxxx00000xxxxx00100001010 vrefp VREG,VREG
000100xxxxxxxxxxxxxxx00100001100 vmrglb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00100001110 vpkshus VREG,VREG,VREG
000100xxxxx00000xxxxx00100010000 ps_nabs FREG,FREG
000100xxxxx00000xxxxx00100010001 ps_nabs. FREG,FREG
000100xxxxxxxxxxxxxxx00101000000 vaddcuq VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101000010 vmaxsh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101000100 vslh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101000111 vcmpnezh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101001000 vmulosh VREG,VREG,VREG
000100xxxxx00000xxxxx00101001010 vrsqrtefp VREG,VREG
000100xxxxxxxxxxxxxxx00101001100 vmrglh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101001110 vpkswus VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00101010000 mulchw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx00101010001 mulchw. GPR,GPR,GPR
000100xxxxxxxxxxxxxxx00110000000 vaddcuw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110000010 vmaxsw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110000100 vslw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110000101 vrlwnm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110000111 vcmpnezw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110001000 vmulosw VREG,VREG,VREG
000100xxxxx00000xxxxx00110001010 vexptefp VREG,VREG
000100xxxxxxxxxxxxxxx00110001100 vmrglw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00110001110 vpkshss VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00111000010 vmaxsd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00111000100 vsl VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00111000101 vrldnm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx00111000110 vcmpgefp VREG,VREG,VREG
000100xxxxx00000xxxxx00111001010 vlogefp VREG,VREG
000100xxxxxxxxxxxxxxx00111001110 vpkswss VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01000000000 vaddubs VREG,VREG,VREG
000100xxxxxxxxxx0000001000000001 vmul10uq VREG,VREG
000100xxxxxxxxxxxxxxx01000000010 vminub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01000000100 vsrb VREG,VREG,VREG
